ID	H	E	C
Seq_2315264	44.11764705882353	27.450980392156865	28.431372549019606
Seq_1810313	44.303797468354425	20.253164556962027	35.44303797468354
Seq_669485	51.68539325842697	0.0	48.31460674157304
Seq_1817421	65.88235294117646	0.0	34.11764705882353
Seq_1763721	0.0	54.347826086956516	45.65217391304348
Seq_414386	32.758620689655174	3.4482758620689653	63.793103448275865
Seq_1566397	20.833333333333336	27.083333333333332	52.083333333333336
Seq_1623316	78.75	3.75	17.5
Seq_2273460	23.52941176470588	22.689075630252102	53.78151260504202
Seq_616200	55.00000000000001	10.0	35.0
Seq_85833	38.15789473684211	27.631578947368425	34.21052631578947
Seq_2231590	5.084745762711865	38.983050847457626	55.932203389830505
Seq_2460616	52.87356321839081	0.0	47.12643678160919
Seq_643799	72.65625	0.0	27.34375
Seq_1377586	10.256410256410255	35.8974358974359	53.84615384615385
Seq_248351	6.896551724137931	46.55172413793103	46.55172413793103
Seq_1598898	84.88372093023256	0.0	15.11627906976744
Seq_1598890	74.24242424242425	0.0	25.757575757575758
Seq_1706275	14.563106796116504	39.80582524271845	45.63106796116505
Seq_371348	0.0	0.0	100.0
Seq_1838009	45.45454545454545	13.636363636363635	40.909090909090914
Seq_420074	63.74999999999999	11.25	25.0
Seq_1915455	44.166666666666664	14.166666666666666	41.66666666666667
Seq_692296	55.00000000000001	5.0	40.0
Seq_905449	32.97872340425532	27.659574468085108	39.361702127659576
Seq_2112760	10.588235294117647	35.294117647058826	54.11764705882353
Seq_1288011	39.53488372093023	18.6046511627907	41.86046511627907
Seq_2089876	32.592592592592595	11.851851851851853	55.55555555555556
Seq_2109484	15.384615384615385	32.05128205128205	52.56410256410257
Seq_141183	57.23684210526315	6.578947368421052	36.18421052631579
Seq_311276	6.557377049180328	36.885245901639344	56.557377049180324
Seq_311274	9.0	27.0	64.0
Seq_595125	10.989010989010989	40.65934065934066	48.35164835164835
Seq_1682745	22.93577981651376	3.669724770642202	73.39449541284404
Seq_2062055	31.57894736842105	25.0	43.42105263157895
Seq_1907974	32.8125	29.6875	37.5
Seq_1441446	48.837209302325576	6.976744186046512	44.18604651162791
Seq_1024631	26.785714285714285	34.82142857142857	38.392857142857146
Seq_311098	35.0	7.000000000000001	57.99999999999999
Seq_1848997	84.48275862068965	0.0	15.517241379310345
Seq_1243570	69.6078431372549	0.0	30.392156862745097
Seq_728983	0.0	62.71186440677966	37.28813559322034
Seq_1734138	64.28571428571429	4.285714285714286	31.428571428571427
Seq_1610156	44.53125	15.625	39.84375
Seq_107157	0.0	0.0	100.0
Seq_247197	41.30434782608695	8.695652173913043	50.0
Seq_964723	48.529411764705884	14.705882352941178	36.76470588235294
Seq_964721	51.28205128205128	12.82051282051282	35.8974358974359
Seq_529041	51.4018691588785	19.626168224299064	28.971962616822427
Seq_522028	14.0625	25.78125	60.15625
Seq_1550422	79.45205479452055	0.0	20.54794520547945
Seq_173563	58.620689655172406	12.068965517241379	29.310344827586203
Seq_2282221	43.79562043795621	13.138686131386862	43.06569343065693
