ID	H	E	C
Seq_2173355	21.818181818181817	34.54545454545455	43.63636363636363
Seq_640074	15.09433962264151	37.735849056603776	47.16981132075472
Seq_2398044	10.869565217391305	47.82608695652174	41.30434782608695
Seq_1304698	32.926829268292686	34.146341463414636	32.926829268292686
Seq_772806	12.857142857142856	51.42857142857142	35.714285714285715
Seq_991323	25.0	20.833333333333336	54.166666666666664
Seq_2231496	6.382978723404255	38.297872340425535	55.319148936170215
Seq_1290110	36.93693693693694	27.027027027027028	36.03603603603604
Seq_610151	5.952380952380952	30.952380952380953	63.095238095238095
Seq_239007	18.96551724137931	24.137931034482758	56.896551724137936
Seq_869124	0.0	60.97560975609756	39.02439024390244
Seq_2315357	85.36585365853658	4.878048780487805	9.75609756097561
Seq_470883	30.666666666666664	33.33333333333333	36.0
Seq_576602	17.142857142857142	20.0	62.857142857142854
Seq_1850842	76.31578947368422	0.0	23.684210526315788
Seq_316744	0.0	61.016949152542374	38.983050847457626
Seq_326679	27.358490566037734	19.81132075471698	52.83018867924528
Seq_2046717	40.909090909090914	25.0	34.090909090909086
Seq_420328	46.666666666666664	13.333333333333334	40.0
Seq_783649	30.0	12.0	57.99999999999999
Seq_576609	57.14285714285714	1.4285714285714286	41.42857142857143
Seq_720085	39.130434782608695	7.246376811594203	53.62318840579711
Seq_792078	26.31578947368421	32.89473684210527	40.78947368421053
Seq_1741388	14.893617021276595	56.38297872340425	28.723404255319153
Seq_1806309	44.285714285714285	31.428571428571427	24.285714285714285
Seq_361402	0.0	0.0	100.0
Seq_1382832	0.0	52.38095238095239	47.61904761904761
Seq_758337	0.0	46.15384615384615	53.84615384615385
Seq_1335370	0.0	0.0	100.0
Seq_1447954	16.216216216216218	29.72972972972973	54.054054054054056
Seq_1903301	46.3768115942029	17.391304347826086	36.231884057971016
Seq_135101	31.16883116883117	16.883116883116884	51.94805194805194
Seq_2145221	11.11111111111111	29.629629629629626	59.25925925925925
Seq_731933	42.10526315789473	15.789473684210526	42.10526315789473
Seq_1811917	8.641975308641975	27.160493827160494	64.19753086419753
Seq_1497931	47.43589743589743	15.384615384615385	37.17948717948718
Seq_1305805	0.0	71.73913043478261	28.26086956521739
Seq_1699858	0.0	0.0	100.0
Seq_1021795	0.0	0.0	100.0
Seq_1760954	7.865168539325842	0.0	92.13483146067416
Seq_1623451	37.83783783783784	27.027027027027028	35.13513513513514
Seq_1882691	43.47826086956522	14.130434782608695	42.391304347826086
Seq_783076	11.475409836065573	19.672131147540984	68.85245901639344
Seq_1791327	64.28571428571429	0.0	35.714285714285715
Seq_2420075	20.967741935483872	43.54838709677419	35.483870967741936
Seq_2095196	16.9811320754717	43.39622641509434	39.62264150943396
Seq_2184815	58.92857142857143	0.0	41.07142857142857
Seq_2037017	19.047619047619047	36.507936507936506	44.44444444444444
Seq_213803	54.385964912280706	10.526315789473683	35.08771929824561
Seq_2273246	75.36231884057972	2.898550724637681	21.73913043478261
Seq_1527615	37.735849056603776	19.81132075471698	42.45283018867924
Seq_1043493	17.46031746031746	19.047619047619047	63.49206349206349
Seq_1346081	7.8431372549019605	35.294117647058826	56.86274509803921
Seq_746744	60.78431372549019	5.88235294117647	33.33333333333333
Seq_236798	38.46153846153847	12.307692307692308	49.23076923076923
Seq_68887	68.35443037974683	0.0	31.645569620253166
Seq_1070977	43.58974358974359	23.076923076923077	33.33333333333333
Seq_404771	100.0	0.0	0.0
Seq_2062709	15.384615384615385	42.30769230769231	42.30769230769231
Seq_529037	40.74074074074074	25.0	34.25925925925926
Seq_350579	22.857142857142858	45.714285714285715	31.428571428571427
Seq_779452	2.127659574468085	42.5531914893617	55.319148936170215
Seq_2048095	41.66666666666667	35.41666666666667	22.916666666666664
Seq_1324031	19.841269841269842	1.5873015873015872	78.57142857142857
Seq_2149774	31.76470588235294	20.0	48.23529411764706
Seq_758806	0.0	61.53846153846154	38.46153846153847
Seq_1261177	0.0	0.0	100.0
Seq_825084	31.11111111111111	15.555555555555555	53.333333333333336
Seq_136097	33.33333333333333	24.358974358974358	42.30769230769231
Seq_150842	0.0	0.0	100.0
Seq_1716851	19.642857142857142	32.142857142857146	48.214285714285715
Seq_1695661	41.74757281553398	18.446601941747574	39.80582524271845
Seq_821894	10.909090909090908	41.81818181818181	47.27272727272727
Seq_595287	15.053763440860216	47.31182795698925	37.634408602150536
Seq_787733	0.0	0.0	100.0
Seq_1938003	80.68181818181817	0.0	19.318181818181817
Seq_945192	0.0	0.0	100.0
Seq_2281344	57.8125	6.25	35.9375
Seq_1619083	5.194805194805195	49.35064935064935	45.45454545454545
Seq_1150770	44.44444444444444	8.641975308641975	46.913580246913575
Seq_303997	37.254901960784316	37.254901960784316	25.49019607843137
Seq_437901	33.0	19.0	48.0
Seq_711079	49.57983193277311	18.487394957983195	31.932773109243694
Seq_1758117	28.155339805825243	28.155339805825243	43.689320388349515
Seq_675483	32.25806451612903	35.483870967741936	32.25806451612903
Seq_1340446	9.75609756097561	46.34146341463415	43.90243902439025
Seq_389227	34.146341463414636	14.634146341463413	51.21951219512195
Seq_585648	0.0	0.0	100.0
Seq_2116043	41.46341463414634	14.634146341463413	43.90243902439025
Seq_1986263	0.0	0.0	100.0
Seq_1941046	35.2112676056338	2.8169014084507045	61.97183098591549
Seq_578285	63.934426229508205	6.557377049180328	29.508196721311474
Seq_876390	30.76923076923077	0.0	69.23076923076923
Seq_968261	0.0	0.0	100.0
Seq_307410	34.69387755102041	24.489795918367346	40.816326530612244
Seq_757257	0.0	51.02040816326531	48.97959183673469
Seq_376295	14.925373134328357	4.477611940298507	80.59701492537313
Seq_453867	35.0	31.666666666666664	33.33333333333333
Seq_1838911	0.0	0.0	100.0
Seq_787788	0.0	0.0	100.0
Seq_1231014	32.25806451612903	22.58064516129032	45.16129032258064
Seq_1191498	71.08433734939759	0.0	28.915662650602407
Seq_1222680	32.075471698113205	9.433962264150944	58.490566037735846
Seq_1769868	20.0	45.714285714285715	34.285714285714285
Seq_287177	7.547169811320755	9.433962264150944	83.01886792452831
Seq_1324844	0.0	42.64705882352941	57.35294117647059
Seq_1939270	0.0	28.000000000000004	72.0
Seq_661992	0.0	0.0	100.0
Seq_1619880	10.526315789473683	43.859649122807014	45.614035087719294
Seq_376464	37.28813559322034	20.33898305084746	42.3728813559322
Seq_1641547	48.0	10.0	42.0
Seq_1957378	24.074074074074073	30.555555555555557	45.370370370370374
Seq_645458	9.333333333333334	0.0	90.66666666666666
Seq_1423695	0.0	40.78947368421053	59.210526315789465
